fecha,valor,locName,nombre,identificador,locId,lat,long
28/11/2024,3826.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
29/11/2024,4395.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
30/11/2024,5374.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
01/12/2024,4403.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
02/12/2024,3728.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
03/12/2024,3283.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
04/12/2024,3123.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
05/12/2024,3073.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
06/12/2024,4035.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
07/12/2024,4233.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
08/12/2024,3774.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
09/12/2024,2991.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
10/12/2024,2594.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
11/12/2024,2534.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
12/12/2024,2974.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
13/12/2024,3375.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
14/12/2024,3878.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
15/12/2024,2938.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
16/12/2024,2104.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
17/12/2024,1740.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
18/12/2024,1787.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
19/12/2024,2002.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
20/12/2024,2412.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
21/12/2024,2816.0,Lagunas de la Mata y Torrevieja PNat--Area General,Nº Total de Especies en el Tiempo,NTEEET,L3906629,38.0238218,-0.683426
